iter	RMSE
0	52.99887602
1	51.85663056
2	50.8278948
3	49.90852591
4	49.06983214
5	48.31175526
6	47.63001894
7	47.01854243
8	46.45915361
9	45.93849509
10	45.47121582
11	45.06323574
12	44.7144464
13	44.37892764
14	44.07257225
15	43.80008839
16	43.57922299
17	43.35000013
18	43.14170346
19	42.95570157
20	42.79464548
21	42.63738941
22	42.48610817
23	42.36791527
24	42.25546938
25	42.15343149
26	42.06241621
27	41.959757
28	41.87223086
29	41.79596993
30	41.7093931
31	41.64296154
32	41.56892066
33	41.50339355
34	41.44666377
35	41.39296204
36	41.33931438
37	41.29897686
38	41.25872282
39	41.22487894
40	41.19584175
41	41.16160392
42	41.11746701
43	41.09299606
44	41.06782265
45	41.02998951
46	41.0073083
47	40.97390198
48	40.923202
49	40.888051
50	40.8675518
51	40.84433023
52	40.81326989
53	40.75811382
54	40.72050146
55	40.69415104
56	40.6539062
57	40.63616189
58	40.60121526
59	40.58977553
60	40.55549368
61	40.54113697
62	40.52140487
63	40.50861847
64	40.5044413
65	40.46031784
66	40.44648897
67	40.42306591
68	40.40064365
69	40.3836931
70	40.37197025
71	40.35795544
72	40.32928592
73	40.31221396
74	40.29832804
75	40.29054228
76	40.2729511
77	40.2607856
78	40.24543135
79	40.23424567
80	40.22062566
81	40.20732692
82	40.19055709
83	40.18519589
84	40.17483738
85	40.16332372
86	40.14974136
87	40.13942944
88	40.1310262
89	40.12226389
90	40.11086052
91	40.1008838
92	40.09258888
93	40.0864695
94	40.08198543
95	40.07125257
96	40.05972851
97	40.05072805
98	40.04053801
99	40.03220687
100	40.01575029
101	40.00384512
102	39.99100174
103	39.9861585
104	39.9694642
105	39.95721525
106	39.95023454
107	39.93940519
108	39.93606723
109	39.93597261
110	39.93592783
111	39.92748431
112	39.92131375
113	39.90841343
114	39.8996981
115	39.89022267
116	39.88660123
117	39.87264727
118	39.8660071
119	39.8558448
120	39.849803
121	39.84977577
122	39.83516242
123	39.82447603
124	39.81780697
125	39.81360033
126	39.80662958
127	39.79650252
128	39.79649748
129	39.79587252
130	39.78963455
131	39.78304964
132	39.77697273
