iter	Passed	Remaining
0	31	31738
1	56	28035
2	82	27578
3	110	27520
4	134	26800
5	158	26322
6	182	25869
7	212	26370
8	236	26076
9	260	25794
10	284	25602
11	309	25521
12	334	25417
13	362	25546
14	389	25593
15	416	25629
16	441	25536
17	466	25423
18	490	25305
19	516	25313
20	542	25273
21	565	25136
22	591	25126
23	615	25047
24	640	24981
25	667	24999
26	690	24890
27	716	24877
28	743	24902
29	769	24884
30	797	24913
31	821	24858
32	845	24780
33	870	24720
34	892	24620
35	917	24570
36	942	24539
37	968	24522
38	994	24499
39	1020	24502
40	1045	24458
41	1070	24409
42	1096	24407
43	1123	24409
44	1146	24329
45	1171	24304
46	1198	24291
47	1227	24342
48	1253	24334
49	1280	24335
50	1317	24509
51	1345	24538
52	1374	24567
53	1404	24608
54	1428	24550
55	1457	24569
56	1481	24512
57	1505	24445
58	1531	24429
59	1544	24198
60	1571	24192
61	1596	24158
62	1622	24127
63	1649	24120
64	1662	23918
65	1686	23867
66	1714	23877
67	1739	23843
68	1765	23816
69	1795	23849
70	1820	23818
71	1845	23790
72	1869	23736
73	1894	23701
74	1919	23679
75	1944	23639
76	1973	23656
77	2000	23652
78	2028	23652
79	2055	23635
80	2081	23620
81	2110	23621
82	2133	23574
83	2160	23555
84	2186	23534
85	2213	23525
86	2240	23516
87	2266	23492
88	2291	23452
89	2317	23431
90	2343	23406
91	2374	23440
92	2408	23489
93	2434	23462
94	2461	23448
95	2484	23391
96	2511	23380
97	2536	23347
98	2567	23362
99	2590	23314
100	2619	23313
101	2647	23306
102	2673	23285
103	2698	23251
104	2725	23231
105	2752	23215
106	2777	23183
107	2801	23136
108	2824	23091
109	2837	22958
110	2846	22799
111	2873	22783
112	2898	22750
113	2928	22756
114	2953	22726
115	2993	22811
116	3018	22781
117	3046	22769
118	3078	22789
119	3107	22790
120	3136	22786
121	3147	22655
122	3175	22638
123	3207	22656
124	3232	22628
125	3260	22614
126	3288	22607
127	3313	22572
128	3323	22439
129	3341	22363
130	3374	22386
131	3407	22406
132	3438	22417
133	3465	22399
134	3493	22386
135	3523	22384
136	3549	22356
137	3575	22333
138	3600	22301
139	3628	22290
140	3661	22304
141	3691	22303
142	3720	22295
143	3747	22277
144	3777	22271
145	3807	22269
146	3836	22261
147	3861	22229
148	3896	22252
149	3921	22223
150	3950	22211
151	3975	22179
152	3998	22135
153	4026	22119
154	4050	22084
155	4060	21970
156	4089	21960
157	4116	21939
158	4144	21922
159	4172	21904
160	4201	21896
161	4230	21884
162	4260	21878
163	4285	21844
164	4312	21825
165	4339	21800
166	4370	21799
167	4398	21783
168	4426	21765
169	4450	21728
170	4479	21717
171	4507	21700
172	4536	21688
173	4563	21664
174	4593	21654
175	4624	21650
176	4656	21652
177	4686	21641
178	4715	21629
179	4746	21623
180	4776	21612
181	4800	21578
182	4825	21543
183	4852	21519
184	4880	21502
185	4907	21475
186	4932	21446
187	4961	21431
188	4990	21412
189	5019	21397
190	5051	21394
191	5086	21404
192	5115	21391
193	5147	21384
194	5181	21390
195	5215	21394
196	5247	21388
197	5275	21369
198	5301	21337
199	5327	21309
200	5355	21288
201	5384	21272
202	5413	21252
203	5437	21218
204	5478	21244
205	5521	21282
206	5556	21287
207	5592	21293
208	5626	21296
209	5661	21296
210	5687	21268
211	5711	21230
212	5738	21203
213	5766	21179
214	5799	21173
215	5824	21141
216	5849	21107
217	5876	21078
218	5904	21055
219	5935	21042
220	5961	21012
221	5990	20992
222	6014	20957
223	6043	20934
224	6083	20955
225	6110	20925
226	6138	20902
227	6168	20885
228	6195	20857
229	6218	20818
230	6241	20777
231	6274	20770
232	6302	20748
233	6329	20718
234	6355	20690
235	6381	20658
236	6407	20628
237	6434	20601
238	6459	20567
239	6487	20543
240	6513	20514
241	6543	20497
242	6569	20465
243	6598	20445
244	6627	20424
245	6651	20387
246	6675	20350
247	6702	20323
248	6727	20291
249	6758	20275
250	6785	20247
251	6813	20224
252	6843	20206
253	6869	20177
254	6897	20150
255	6923	20121
256	6950	20094
257	6978	20069
258	7003	20035
259	7030	20010
260	7059	19988
261	7086	19962
262	7117	19944
263	7145	19921
264	7174	19898
265	7199	19867
266	7226	19839
267	7250	19802
268	7272	19763
269	7295	19725
270	7325	19705
271	7351	19677
272	7379	19652
273	7408	19628
274	7436	19606
275	7462	19575
276	7486	19540
277	7514	19515
278	7537	19478
279	7564	19452
280	7591	19425
281	7620	19401
282	7643	19366
283	7666	19329
284	7693	19300
285	7715	19262
286	7744	19240
287	7773	19217
288	7801	19193
289	7828	19165
290	7858	19146
291	7888	19126
292	7911	19089
293	7937	19061
294	7960	19024
295	7985	18992
296	8009	18958
297	8035	18928
298	8057	18891
299	8088	18873
300	8115	18847
301	8143	18821
302	8168	18790
303	8197	18769
304	8226	18746
305	8258	18730
306	8285	18703
307	8310	18672
308	8344	18660
309	8371	18634
310	8398	18607
311	8423	18575
312	8446	18538
313	8474	18515
314	8504	18494
315	8529	18463
316	8554	18431
317	8583	18407
